test_lect,test_mate,test_soc,test_nat,privateHS,wage,male,momschooling2,momschooling3,momschooling_miss,dadschooling2,dadschooling3,dadschooling_miss,broken_home1,broken_home_miss,incomehh2,incomehh3,incomehh_miss,north,center,share_private,avg_price
-.7957835,.0218192,-.4247086,-1.111833,1,9.1784652,1,0,0,1,0,0,1,0,1,0,0,1,0,1,.8108108,.31813516
-1.825042,-.6672235,-1.875461,-1.400273,0,7.8587531,1,0,0,0,0,0,0,1,0,1,0,0,0,0,.8421053,.1972524
.0369404,.3434526,-1.785301,-.4025372,1,8.9427044,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.8181818,.15585168
.8126831,1.471668,.7707573,.8910383,0,8.8860603,1,1,0,0,0,0,0,0,1,0,0,1,0,0,.5,0
-.4125103,-.5133033,.6658042,1.473117,1,8.8610971,1,1,0,0,0,0,0,0,0,1,0,0,0,1,.8108108,.31813516
.0783266,.1131717,-.4664902,-.3247267,0,7.7815583,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.01365126
-.0424332,.6572894,.1556318,-1.438678,1,9.5180473,1,0,1,0,1,0,0,0,0,0,1,0,0,1,.7368421,.08477957
-.9349371,-.3082095,-.3129586,-.4041375,1,7.789416,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.6666667,.05658516
-.5688586,.4338055,.6971897,-1.073228,1,6.3349256,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.25,0
.5865582,.0430082,-.4075163,.3915705,0,8.1673369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.7142857,.08627617
-.2155759,-.8487293,.5360618,-.3737333,0,7.5300136,0,0,0,0,0,0,0,1,0,1,0,0,0,1,.7391304,.20514061
.583159,.2109213,.580642,.9446455,0,8.4560701,1,1,0,0,1,0,0,1,0,0,0,0,0,1,.7777778,.11880343
.9454387,.973126,-.0540744,-.0668917,0,9.2830193,1,0,1,0,0,1,0,0,0,0,1,0,0,1,.5714286,.21205693
-1.217443,-.8555257,-2.408222,-2.166976,0,6.5281184,1,0,0,1,0,0,1,0,1,0,0,1,0,1,.6666667,.03791952
.683326,1.041091,1.375887,1.143673,0,8.1345152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.07998273
-1.426174,-1.36786,-1.755714,-1.549493,1,8.9194803,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.6666667,.03791952
.8906571,.6932712,-.3391469,1.591533,0,6.4954803,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.09735526
2.332579,1.00271,1.669355,1.209282,0,9.1873944,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.5333334,.32381934
-.9535311,-1.090004,-1.185569,-1.468082,0,7.5850328,0,0,0,0,0,0,0,1,0,1,0,0,0,1,.7090909,.25402301
-.9739241,.5287563,-.3827276,-.3375284,1,8.6268712,1,1,0,0,1,0,0,1,0,1,0,0,0,1,.84,.32447398
-.3859194,.3328581,-.2301956,.2917572,1,8.6103539,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,.14390507
-.4041132,.2213156,-.2076056,.0857291,0,7.7104555,1,0,0,0,0,1,0,1,0,1,0,0,0,1,.8108108,.31813516
.5423724,.3506486,.8597172,.750219,1,7.3785506,1,0,1,0,0,1,0,0,0,1,0,0,0,0,.6666667,.19960482
.2550679,-.1544895,-.0934568,-.5675596,0,8.6386163,1,1,0,0,0,0,0,0,1,0,0,1,1,0,.5,.12517746
.7828932,-.2026643,-.5110702,.5755957,1,7.1668949,0,0,0,1,1,0,0,1,0,0,1,0,0,1,.6153846,.29223201
-.6026474,-1.038231,-.5444552,-.3005233,0,7.7697913,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.8108108,.31813516
-1.362595,-1.071814,-1.649161,-1.855335,0,8.3912637,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.3333333,0
.301053,-1.687494,-.9386791,-.6569718,0,9.0117317,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.8181818,.15585168
-2.354066,-1.739867,-.5126695,-.887003,1,9.1567809,1,0,0,0,0,0,0,0,0,0,1,0,0,1,.8108108,.31813516
1.338909,1.0221,.5648489,.0733275,1,9.2736588,0,1,0,0,0,1,0,0,0,0,1,0,0,1,.8,.15633682
-.8029808,-1.469207,-2.046384,-.9628131,1,7.7298627,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,.07998273
-.5932506,.7692315,-1.537611,-.7497844,1,8.0288322,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.5,.08057165
.7994874,-.2792246,.6879939,.0023178,1,8.373569,0,0,0,0,0,1,0,0,1,0,0,1,0,0,.5,0
-.1869852,.1635459,-.3225542,-.2505164,0,9.1189596,0,0,0,0,0,0,0,0,0,0,0,1,0,1,.7090909,.25402301
.0905225,1.012705,.007698,.8988397,1,8.9378583,1,1,0,0,1,0,0,0,0,0,1,0,0,0,.5,.14724462
-.4029136,-1.05962,-1.533413,-.3977365,0,8.4472766,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.3333333,0
.6957218,1.097462,.5674478,1.241486,1,8.1781447,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.7777778,.11880343
-.5118774,-.0265557,-.4692889,-.4057377,1,7.2596325,0,0,0,0,0,0,0,0,0,1,0,0,1,0,.7142857,.37761201
.0663307,.5889252,.7437692,.8118277,1,9.3100709,1,0,0,0,1,0,0,0,0,1,0,0,1,0,.5,.12517746
.0841248,.8192056,-.0698672,-.1451024,0,8.3225268,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.12780535
-.1865855,-.9254894,-.9758625,-1.638105,1,8.2000301,0,1,0,0,1,0,0,0,1,0,0,1,0,1,.7272727,.21739165
.8564686,.9739252,-.3975208,1.089265,1,8.4107051,0,1,0,0,1,0,0,1,0,1,0,0,0,0,.6,.211627
-.4235068,-.5760707,-.7017848,-.267319,1,7.8300758,0,0,1,0,0,1,0,1,0,1,0,0,0,0,.6,.211627
-.3459327,.7646337,-.9230861,1.614136,0,9.3943279,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.25,.1438726
-.0926165,-.3417923,-1.117999,-.674374,1,7.9873549,0,0,0,1,0,0,1,0,1,0,0,1,0,1,.75,.12022288
-.3459327,.8607838,-.7365694,-.0518896,1,8.0800619,1,1,0,0,0,0,0,0,0,0,0,0,0,1,.6666667,.03791952
.4683973,.2602957,.9520758,1.078264,0,7.6752814,0,1,0,0,1,0,0,0,0,0,1,0,0,0,.7391304,.21390388
.8520701,1.056883,.7155817,.5373905,1,9.3625678,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.12780535
-.4674921,-1.017841,-1.139189,-.9924174,1,7.9286465,0,0,0,0,0,0,0,0,1,0,0,1,0,0,.8,0
-.411111,-1.466609,-1.02644,-1.261054,0,8.7495145,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.5714286,.21205693
-.3757226,-.3481888,-.3577387,-.0412882,1,8.6797012,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.8108108,.31813516
-.8333707,-1.009046,-1.718131,-1.97275,1,9.9813718,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.75,.01215376
-1.116677,-.849329,-.5364589,-1.978151,1,7.9568091,1,0,0,0,1,0,0,1,0,1,0,0,1,0,.6111111,.15668336
-1.302815,1.162428,.8133383,.6100004,1,9.1929218,1,0,1,0,0,1,0,1,0,0,1,0,0,0,.7391304,.21390388
-1.078689,-.5252969,-.0654691,-1.185443,1,8.5927181,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.7272727,.21739165
-.7643937,.1431561,-1.396675,-.7307819,1,9.0067212,1,1,0,0,0,0,0,0,1,0,0,1,0,1,.8,.18182649
-.3199413,-.2300503,.8121383,-.1339006,1,9.3178913,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.5333334,.32381934
1.138375,.3874294,1.272533,1.359702,1,5.6297045,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.8108108,.31813516
.2770607,.1185689,.0634732,.31356,0,9.4578506,1,0,0,0,0,0,0,0,0,1,0,0,1,0,.6,.10855792
-1.593919,-1.028836,-.5640464,-1.38047,0,8.246926,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.5,.28958993
.5749617,.1225668,.2957693,.4891838,1,8.7088204,1,0,0,0,0,0,1,1,0,0,0,0,0,1,.6666667,.03791952
-.0606273,-.1083132,-.7161784,-1.294458,1,6.8241857,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.09735526
.7381076,.0657963,.2959694,.2327489,0,9.5979073,1,1,0,0,0,1,0,0,1,0,0,1,1,0,.5,0
-.4123105,-.1926695,1.217158,.3587664,0,9.4461564,1,1,0,0,0,0,0,0,0,1,0,0,0,1,.4285714,.1284174
.872263,.1843347,.706386,-.0202853,1,9.0637349,0,1,0,0,0,0,0,0,0,1,0,0,0,1,.7777778,.11880343
1.059201,-.1618856,.7579627,.3863696,0,4.8116989,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,.03672949
.0285433,-.2128592,.8413257,.6538064,1,8.0766763,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.6666667,.05658516
1.780362,1.434087,1.394878,2.104403,1,8.8580535,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.5,.08019912
-.1212072,.9123573,.023291,-1.002619,0,8.4264104,1,0,0,0,1,0,0,1,0,0,0,0,1,0,.5833333,.18789991
.561766,-1.40664,-.4335047,.969249,1,9.3102044,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.85,.18611974
-2.227708,-1.283304,-1.96702,-.6173665,1,8.5327254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0
-1.202848,-1.157569,-1.7877,-.9802157,0,8.5605795,0,1,0,0,0,0,0,0,0,1,0,0,1,0,.5,.25328278
-.278755,-.1352993,-.6687997,-.35053,0,8.4845106,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.84,.32447398
-1.208846,-1.484,-1.110802,-1.744119,1,9.2339685,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.8108108,.31813516
-.7418011,-1.17556,-.7315716,-1.035023,0,8.1022392,1,0,1,0,0,0,1,1,0,0,0,1,0,1,.5714286,.21205693
1.050604,.7054645,1.024444,1.359102,1,8.4062117,0,1,0,0,0,0,0,0,0,1,0,0,0,1,.7272727,.21739165
2.503522,1.780107,1.698942,1.56433,1,6.1317408,0,0,1,0,0,1,0,0,0,0,1,0,0,1,.7090909,.25402301
.0829253,.5279565,.6795981,.1947439,1,5.7127467,0,0,1,0,0,1,0,0,1,0,0,1,0,1,.8,.18182649
-.4536969,-.9608712,-1.253538,-1.82393,0,8.1231969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.8421053,.1972524
.2800595,.9333462,.8623161,.4811829,1,8.8868919,1,0,1,0,0,1,0,0,1,0,0,1,0,0,.8421053,.1972524
2.355371,2.156312,1.848476,1.704149,0,9.723974,0,0,1,0,0,1,0,0,0,0,1,0,0,1,.8,.18182649
.725912,.7184577,-.4075163,-.0648913,1,8.1441417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.8108108,.31813516
.5003868,.6852748,.9112945,.1293352,1,9.4379097,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.8108108,.31813516
-.6312378,-.795157,.0252902,-.2713194,1,8.8448493,1,0,0,1,0,0,1,0,1,0,0,1,0,1,.7,.17591561
.6023525,.2413053,1.496433,1.040459,0,5.5545598,0,1,0,0,0,1,0,0,0,1,0,0,0,0,.6,.211627
.2980541,.6175103,.0108966,-.6955768,1,9.5437212,0,1,0,0,0,0,0,0,0,0,1,0,0,1,.8333333,.16892856
.6019529,-.0131627,1.058629,1.403908,0,7.8162287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.5757576,.19301433
.0547345,-.2118596,.1480357,.6802095,1,9.2312165,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.8,.18182649
-1.489753,-2.054304,-1.527216,-2.150774,1,9.565748,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.8571429,.21692954
